"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy"
"2","vitamins","fish (food)","vanilla","soda","blue","here","street","hungry","paint (action)","nose","fish (food)","eye","pig","sandbox","pretend","nails","next to","little (description)","bench","coat","muffin","fish (animal)","chair","dish","buy","ladder","bubbles","pull","bump","money","potato chip","porch","draw","plate","pool","play pen","pretzel","him","garbage","not","paint (action)","train","roof","nurse","lion","wanna","peanut butter","doctor","walker","hate"
"3","baa baa","we","light","little (description)","think","aunt","wash","him","cookie","sock","wake","nap","little (description)","star","fix","sneaker","airplane","babysitter","hen","sprinkler","heavy","wolf","window","telephone","food","refrigerator","cheek","couch","salt","giraffe","stuck","deer","bathroom","noisy","napkin","garbage","swing (action)","will","drawer","cry","drawer","sink","am","penny","bottle","underpants","time","fireman","cloud","ice"
"4","pull","vanilla","book","bib","toothbrush","brother","water (beverage)","bicycle","bathroom","ladder","shh","stick","vagina","coat","cheerios","present","see","cheese","bite","peanut butter","sock","above","myself","give","spoon","sandwich","kick","circus","fork","yellow","lick","underpants","have","bed","close","uncle","moo","yellow","muffin","pajamas","on","uncle","mailman","ladder","out","sofa","donut","mouth","truck","person"
"5","trash","tricycle","butterfly","with","sing","necklace","fish (animal)","sled","paper","garage","hamburger","cute","cut","play dough","yesterday","water (beverage)","rock (object)","fast","penny","deer","mouth","trash","story","lawn mower","donut","draw","too","above","dump","balloon","tv","pretzel","walker","crayon","closet","jar","penny","table","soup","door","like","tv","zoo","potty","if","high","at","pickle","feed","cake"
"6","water (not beverage)","beside","find","will","room","spill","red","drawer","tv","circus","teacher","beans","beans","person","shower","full","toy (object)","glass","stove","asleep","yesterday","park","bad","duck","jump","drive","scissors","animal","bathroom","arm","ice","movie","sister","write","catch","elephant","fast","paper","telephone","star","lamp","hamburger","put","show","camping","meat","pig","milk","drawer","give"
"7","fork","grandpa","diaper","coat","medicine","bottle","broken","broom","school","any","knee","country","store","garage","napkin","keys","on","none","scared","bowl","big","at","hand","noodles","bear","bench","sofa","rock (object)","mailman","tongue","leg","any","tricycle","movie","jeans","water (not beverage)","church","turtle","knee","duck","toothbrush","shake","sandwich","window","bench","party","close","potato","have","bad"
"8","draw","turkey","tray","circus","tummy","bye","cook","present","motorcycle","chair","splash","tights","orange (food)","hose","eye","wake","doctor","tired","read","hose","hard","lady","fix","read","lady","noodles","bird","babysitter","pudding","present","butt","goose","cheese","tv","bench","owl","pumpkin","soap","hamburger","see","potato chip","bug","babysitter","glasses","people","penis","don't","hate","helicopter","because"
"9","red","it","hungry","rooster","bathroom","star","cloud","bug","beans","kitchen","in","penny","food","sweater","clown","pen","oven","lamp","tractor","catch","hose","finish","mad","tricycle","basket","puppy","bug","coat","penny","zipper","finger","sauce","mittens","watch (action)","pick","awake","cake","wish","basement","kiss","bee","cookie","frog","finger","balloon","pumpkin","turtle","smile","shower","see"
"10","arm","rooster","hammer","kitty","camera","nails","elephant","food","look","baby","rain","bunny","sneaker","moose","take","bread","sweater","pool","bath","slipper","coke","fireman","home","clap","snowsuit","cereal","above","tissue","banana","stuck","cake","person","plate","camping","breakfast","white","snow","yard","glasses","plant","cracker","hammer","woof woof","friend","paper","hurt (description)","walker","lion","soda","wet (description)"
"11","catch","potato chip","knee","same","table","radio","do","and","room","melon","melon","kiss","throw","show","pumpkin","grandpa","water (beverage)","trash","happy","lion","applesauce","brother","bottle","porch","soda","belly button","jello","chin","sheep","cereal","roof","spoon","camera","plant","person","donkey","for","giraffe","couch","tear","garbage","dryer","shoe","doctor","baby","beach","hat","block","stuck","moon"
"12","grandpa","room","watch (action)","button","sink","snowman","cow","mouse","chin","hate","noodles","bedroom","paint (action)","bathtub","hot","throw","have","horse","shopping","help","donut","each","book","star","chicken (animal)","build","cheerios","pen","present","nurse","pick","today","people","hammer","pony","bucket","people","night","tiger","chair","pajamas","popsicle","hers","toy (object)","black","hot","go","yesterday","what","popsicle"
"13","shh","puzzle","soup","giraffe","ear","sweater","sick","arm","next to","glass","jump","jar","hand","room","jar","look","show","jelly","friend","belt","popsicle","snowsuit","coffee","belt","penny","sticky","motorcycle","wolf","him","underpants","pillow","radio","pretzel","high chair","coke","sun","tv","feed","bunny","pizza","camera","vitamins","bottle","kick","milk","tissue","grass","cook","it","bus"
"14","room","deer","sweater","firetruck","call on phone","food","under","potato","circus","pillow","glasses","lion","loud","wind","tray","lunch","movie","snow","jacket","pancake","knock","hat","clown","lollipop","lick","girl","basement","stroller","brush (object)","back (location)","stroller","pattycake","poor","bath","long","closet","help","call on phone","porch","pencil","snow","nose","teacher","circus","this","puzzle","bus","light","comb (object)","muffin"
"15","noisy","bedroom","arm","clean (action)","lamp","block","chocolate","bump","close","blow","ride","tiger","teacher","teacher","shake","morning","pancake","frog","car","high chair","grapes","cracker","call on phone","tongue","finger","lion","ant","donut","foot","bat","pour","bat","turtle","kitty","spoon","raisin","beads","blow","jar","person","egg","frog","brother","grandpa","eye","bread","swim","cloud","scarf","broom"
"16","nose","pretend","are","walker","snowman","shoulder","zoo","sauce","finger","country","clown","strawberry","clock","wish","money","money","clock","bench","crayon","foot","jar","sweater","fireman","careful","bug","blue","lips","basement","rain","hug","flag","giraffe","doctor","head","bread","glass","cheese","orange (description)","firetruck","broom","table","slipper","swing (action)","meow","chocolate","touch","tiger","sneaker","a","kiss"
"17","house","stove","after","gotta","hug","hi","shopping","sky","cheek","shower","break","rock (object)","plate","good night","penis","chair","hurt (description)","be","beach","green","broom","basement","are","sofa","puppy","help","teacher","dry (action)","puzzle","penny","drop","say","telephone","play pen","tooth","taste","be","good night","was","ice cream","bench","moon","dinner","dirty","zebra","crib","grandpa","spill","vagina","cute"
"18","bus","bath","yum yum","balloon","necklace","ladder","slow","washing machine","horse","bath","telephone","am","hat","chalk","beach","boots","basement","cracker","room","morning","see","candy","shorts","wolf","moo","push","zoo","boat","car","rocking chair","corn","drive","asleep","brush (object)","meat","bus","sprinkler","bathroom","sun","tomorrow","run","finish","plate","share","old","bottle","picnic","zoo","bedroom","orange (food)"
"19","bottle","daddy","corn","wash","bubbles","eat","kitchen","people","meat","cut","chalk","cat","cat","mittens","cloud","donut","vanilla","cup","bottle","good night","balloon","wake","penguin","yucky","water (not beverage)","swim","toast","listen","sidewalk","bathroom","radio","turkey","ride","stone","try","basket","teacher","you","goose","shirt","flag","windy","cut","bathroom","after","trash","meat","fish (food)","napkin","spoon"
